Cube Number,Solve Time (ms),Number of Moves
356,0.4508,184
357,0.4077,161
358,0.5361,243
359,0.5381,232
360,0.4636,193
361,0.4441,162
362,0.3545,210
363,0.5197,215
364,0.4343,193
365,0.4484,193
366,0.4447,186
367,0.5149,220
368,0.4328,200
369,0.3673,224
370,0.5116,193
371,0.3196,172
372,0.4312,203
373,0.4548,170
374,0.508,215
375,0.4153,170
376,0.3719,154
377,0.3567,201
378,0.3589,138
379,0.4026,180
380,0.4982,211
381,0.4074,172
382,0.491,206
383,0.4829,186
384,0.3577,152
385,0.4692,212
386,0.4496,177
387,0.4773,179
388,0.4527,188
389,0.4623,192
390,0.4598,145
391,0.3582,207
392,0.4326,173
393,0.4715,191
394,0.4414,237
395,0.4852,189
396,0.4044,170
397,0.5073,214
398,0.3994,157
399,0.3883,142
400,0.3994,160
401,0.46,199
402,0.2895,175
403,0.4515,193
404,0.4483,181
405,0.5531,214
406,0.5517,205
407,0.4699,204
408,0.483,190
409,0.4333,257
410,0.4021,168
411,0.3351,209
412,0.4041,163
413,0.4175,172
414,0.535,209
415,0.4499,197
416,0.5258,228
417,0.439,174
418,0.5267,205
419,0.5561,250
420,0.4254,209
421,0.4354,183
422,0.4635,181
423,0.4464,192
424,0.4619,201
425,0.3751,149
426,0.4108,197
427,0.3876,160
428,0.4846,184
429,0.3528,150
430,0.4241,160
431,0.3549,157
432,0.5353,221
433,0.3986,150
434,0.558,237
435,0.4867,217
436,0.4046,238
437,0.3931,157
438,0.3604,228
439,0.4344,179
440,0.3761,157
441,0.4314,174
442,0.4631,199
443,0.3943,233
444,0.473,199
445,0.451,190
446,0.4569,191
447,0.5151,231
448,0.4501,176
449,0.5574,196
450,0.4874,204
451,0.486,217
452,0.3664,145
453,0.4921,191
454,0.4413,165
455,0.4422,173
456,0.3672,140
457,0.386,151
458,0.4481,180
459,0.43,207
460,0.4358,173
461,0.4662,189
462,0.515,220
463,0.379,172
464,0.4212,157
465,0.4,172
466,0.4997,192
467,0.4323,169
468,0.501,181
469,0.4091,155
470,0.404,162
471,0.4693,200
472,0.4793,216
473,0.4425,165
474,0.4987,209
475,0.4385,185
476,0.3797,220
477,0.4448,178
478,0.5274,228
479,0.3939,167
480,0.429,188
481,0.4494,193
482,0.4394,199
483,0.41,180
484,0.4723,203
485,0.441,185
486,0.4333,187
487,0.406,255
488,0.4576,198
489,0.4134,164
490,0.5232,213
491,0.494,185
492,0.4221,170
493,0.3831,229
494,0.4815,200
495,0.4245,176
496,0.5606,229
497,0.4387,182
498,0.4054,161
499,0.405,184
500,0.4948,213
501,0.4086,166
502,0.5285,231
503,0.4628,177
504,0.5893,255
505,0.5047,219
506,0.423,209
507,0.4147,164
508,0.4223,177
509,0.4084,173
510,0.4422,182
511,0.5466,193
512,0.4132,166
513,0.3839,163
514,0.4738,188
515,0.5071,203
516,0.3416,180
517,0.4872,205
518,0.5224,226
519,0.3639,229
520,0.4338,182
521,0.615,265
522,0.5389,223
523,0.4717,192
524,0.4999,199
525,0.4252,244
526,0.5308,219
527,0.4386,198
528,0.4085,163
529,0.4832,205
530,0.4945,182
531,0.4652,193
532,0.4223,188
533,0.4996,196
534,0.477,187
535,0.3811,215
536,0.4897,194
537,0.4042,147
538,0.3848,140
539,0.3874,156
540,0.4496,186
541,0.5104,237
542,0.4186,174
543,0.5582,202
544,0.4153,172
545,0.4744,220
546,0.3543,144
547,0.4748,194
548,0.3441,133
549,0.5414,201
550,0.4918,209
551,0.5104,232
552,0.4142,217
553,0.4049,213
554,0.5709,223
555,0.4821,204
556,0.4358,188
557,0.457,219
558,0.5635,235
559,0.4177,186
560,0.5072,202
561,0.5208,232
562,0.463,187
563,0.54,234
564,0.4141,174
565,0.4577,197
566,0.4241,176
567,0.5256,232
568,0.396,197
569,0.455,183
570,0.4941,202
571,0.3374,195
572,0.4226,176
573,0.4243,177
574,0.5681,239
575,0.5182,218
576,0.4524,152
577,0.622,222
578,0.4729,183
579,0.5718,226
580,0.5583,257
581,0.5556,224
582,0.5779,201
583,0.5039,208
584,0.6418,191
585,0.6455,201
586,0.478,176
587,0.3138,185
588,0.479,197
