Cube Number,Solve Time (ms),Number of Moves
357,3.6884,336
358,5.4787,465
359,2.5003,321
360,2.4451,231
361,4.6203,523
362,5.951,402
363,6.3271,531
364,5.8816,584
365,6.8084,551
366,5.0484,369
367,5.4045,456
368,2.9964,234
369,4.7751,478
370,2.9495,307
371,6.6467,600
372,4.9817,395
373,3.0942,284
374,1.4316,363
375,2.7894,254
376,2.1136,244
377,5.9696,564
378,5.8961,638
379,2.9573,303
380,3.9086,288
381,4.6062,485
382,6.5623,429
383,4.4871,360
384,4.6192,347
385,5.5242,616
386,4.6505,496
387,2.7973,244
388,4.6468,485
389,3.001,298
390,3.7272,244
391,9.8728,773
392,4.3012,399
393,10.375,791
394,4.8079,466
395,4.6181,554
396,3.6258,290
397,3.282,308
398,6.195,600
399,4.262,469
400,6.0525,552
401,3.6659,337
402,3.0656,335
403,3.2336,296
404,4.0455,373
405,6.4413,605
406,4.1014,398
407,4.7501,475
408,3.2876,348
409,5.3964,469
410,4.3542,489
411,5.1324,598
412,5.9568,589
413,5.9086,491
414,3.0965,308
415,2.7908,338
416,3.6578,525
417,4.3919,408
418,3.6497,392
419,5.5797,472
420,3.0723,261
421,4.4745,442
422,6.0768,517
423,3.2179,305
424,4.8086,471
425,3.2264,334
426,2.1953,259
427,2.7503,279
428,6.3482,505
429,3.6649,408
430,2.9459,429
431,3.4485,448
432,3.6,439
433,3.1125,355
434,2.3503,254
435,3.2248,246
436,4.1389,487
437,6.9933,523
438,1.0125,183
439,3.8785,352
440,3.7704,385
441,7.7114,473
442,2.328,288
443,2.0527,237
444,2.7718,342
445,6.3259,520
446,5.5324,604
447,2.9096,295
448,2.9078,317
449,2.4554,315
450,3.8241,422
451,4.109,452
452,1.7212,280
453,2.9436,374
454,4.2776,382
455,2.6957,412
456,4.3349,378
457,5.3695,575
458,3.8614,248
459,4.9949,355
460,4.1364,601
461,3.8439,445
462,4.1187,429
463,2.8605,302
464,4.091,322
465,5.0523,518
466,5.1356,584
467,0.7668,130
468,3.5793,383
