Cube Number,Solve Time (ms),Number of Moves
357,0.3957,174
358,0.3343,190
359,0.3909,200
360,0.4624,214
361,0.4885,202
362,0.4306,184
363,0.3076,140
364,0.3473,196
365,0.4514,200
366,0.3587,142
367,0.4366,214
368,0.4217,200
369,0.4238,204
370,0.4235,178
371,0.4067,166
372,0.4663,176
373,0.3969,158
374,0.5381,224
375,0.4608,174
376,0.3982,178
377,0.478,218
378,0.4345,198
379,0.3276,214
380,0.3915,174
381,0.3292,122
382,0.5354,230
383,0.3835,188
384,0.5339,218
385,0.4418,190
386,0.376,146
387,0.4405,178
388,0.5446,270
389,0.4099,174
390,0.3752,162
391,0.4301,192
392,0.5202,204
393,0.3937,162
394,0.4459,196
395,0.4953,202
396,0.4936,210
397,0.5433,178
398,0.5456,212
399,0.1965,80
400,0.3593,210
401,0.4354,190
402,0.4399,190
403,0.4083,172
404,0.4532,196
405,0.3454,140
406,0.4228,186
407,0.4222,184
408,0.3425,150
409,0.5023,214
410,0.5061,206
411,0.3804,162
412,0.5511,234
413,0.4977,214
414,0.3696,150
415,0.4017,168
416,0.3882,168
417,0.4026,170
418,0.4254,178
419,0.3499,162
420,0.3324,138
421,0.4311,170
422,0.3697,168
423,0.3869,208
424,0.4228,194
425,0.4623,182
426,0.5122,236
427,0.471,208
428,0.5114,202
429,0.3058,140
430,0.4138,172
431,0.4731,190
432,0.4027,166
433,0.4932,208
434,0.306,110
435,0.3769,152
436,0.4284,226
437,0.5312,228
438,0.4412,186
439,0.349,140
440,0.509,200
441,0.5396,216
442,0.4187,166
443,0.5014,216
444,0.4335,184
445,0.5492,232
446,0.5066,238
447,0.41,170
448,0.3605,130
449,0.4089,170
450,0.329,148
451,0.4582,184
452,0.4446,192
453,0.4975,202
454,0.3071,180
455,0.5355,234
456,0.4597,184
457,0.3647,150
458,0.4609,218
459,0.4657,158
460,0.5026,246
461,0.4088,166
462,0.426,188
463,0.5571,236
464,0.4833,200
465,0.4192,170
466,0.4145,256
467,0.3769,158
468,0.4088,190
469,0.4488,188
470,0.3208,112
471,0.2938,184
472,0.4596,206
473,0.4023,176
474,0.4514,162
475,0.4211,180
476,0.396,166
477,0.343,158
478,0.4271,180
479,0.4543,176
480,0.5017,210
481,0.3707,160
482,0.4216,194
483,0.3556,156
484,0.3961,172
485,0.3295,138
486,0.3892,156
487,0.4714,208
488,0.4224,190
489,0.4153,160
490,0.4032,180
491,0.4188,170
492,0.4356,204
493,0.4371,184
494,0.4347,192
495,0.3987,166
496,0.3307,148
497,0.5393,236
498,0.3407,218
499,0.349,166
