Cube Number,Solve Time (ms),Number of Moves
356,0.3551,192
357,1.0292,462
358,0.5685,224
359,0.489,192
360,0.6795,408
361,0.3573,190
362,0.5192,250
363,0.3363,196
364,0.8438,392
365,0.5189,222
366,0.939,448
367,0.5432,220
368,0.6851,466
369,0.8039,350
370,0.4484,206
371,0.2586,154
372,0.389,228
373,0.3256,194
374,0.4984,272
375,0.5764,308
376,0.4123,236
377,0.5158,214
378,0.4342,240
379,0.6587,386
380,0.4277,180
381,0.4239,202
382,0.684,300
383,0.971,444
384,0.7528,360
385,0.5171,252
386,0.244,142
387,0.5427,234
388,0.3256,186
389,0.4905,202
390,0.405,252
391,0.5164,174
392,0.4516,190
393,0.5595,232
394,0.5965,252
395,0.4515,280
396,0.3404,200
397,0.6991,470
398,0.3633,228
399,0.7741,358
400,0.9085,422
401,0.5778,246
402,0.3286,136
403,0.356,194
404,0.5996,312
405,0.4785,304
406,0.7977,414
407,0.3388,190
408,0.3783,146
409,0.6136,288
410,0.4254,190
411,0.3889,184
412,0.4955,228
413,0.591,276
414,0.5231,228
415,0.414,238
416,0.443,182
417,0.5372,240
418,0.9035,484
419,0.3837,150
420,0.3838,232
421,0.3157,184
422,0.4404,180
423,0.6007,252
424,0.981,428
425,0.429,180
426,0.521,238
427,0.5349,280
428,0.3565,182
429,0.553,270
430,0.7503,428
431,0.5379,236
432,0.582,380
433,0.5434,236
434,0.8259,460
435,0.326,142
436,0.5893,392
437,0.3287,188
438,0.5137,246
439,0.4173,224
440,0.4593,200
441,0.5224,208
442,0.5177,232
443,0.7064,372
444,0.6107,264
445,0.6423,372
446,0.5054,220
447,0.3155,160
448,0.622,290
449,0.4266,180
450,0.5285,320
451,0.4876,300
452,0.5956,278
453,0.533,234
454,0.5521,218
455,0.7071,338
456,0.9034,466
457,0.6534,432
458,0.8129,410
459,0.8841,390
460,0.6029,240
461,0.5747,232
462,0.4914,182
463,0.9542,476
464,0.2844,158
465,0.775,330
466,0.3826,216
467,0.6749,460
468,0.5497,248
469,0.3827,216
470,0.5556,218
471,0.3433,206
472,0.4771,186
473,0.3256,208
474,0.4143,230
475,0.423,178
476,0.3491,162
477,0.3552,194
478,0.4968,226
479,0.4513,194
480,0.5068,220
481,0.7118,432
482,0.5381,268
483,0.7627,380
484,0.3677,188
485,0.3946,226
486,0.6056,212
487,0.5415,248
488,0.6625,442
489,0.373,208
490,0.499,202
491,0.5101,330
492,0.4906,290
493,0.4632,194
494,0.5076,268
495,0.7083,446
496,0.8287,392
497,0.3691,232
498,0.5323,324
499,0.3468,210
500,0.4697,196
501,0.5264,236
502,0.4665,218
503,0.7995,376
504,0.8378,292
505,0.8513,346
506,0.4327,264
507,0.4128,220
508,0.5899,240
509,0.5019,230
510,0.4573,216
511,0.7837,392
512,0.4831,226
513,0.8296,414
514,0.914,408
515,0.3047,136
516,0.4538,250
517,0.3768,210
518,0.9461,170
519,0.5048,204
520,0.5121,188
521,0.4812,264
522,0.3537,232
523,0.3946,232
524,0.4594,194
525,0.3806,166
526,0.5767,346
527,0.9705,426
528,0.48,174
529,0.4185,176
530,0.5408,230
531,0.3612,212
532,0.4899,216
533,0.5982,346
534,0.5839,248
535,0.5912,214
536,0.4049,244
537,0.5424,248
538,0.528,234
539,0.3986,172
540,0.8406,380
541,0.3639,226
542,0.6704,264
543,0.561,228
544,0.4307,194
545,0.686,454
546,0.7941,412
547,1.3956,482
548,0.6163,252
549,0.446,262
550,0.3438,178
551,0.5839,254
552,0.3101,172
553,0.5626,274
554,0.3752,232
555,0.8264,378
556,0.5504,212
557,0.3688,220
558,0.6386,384
559,0.3252,188
560,0.8644,420
561,0.307,180
562,0.2882,148
563,0.9545,458
564,0.5657,242
565,0.2689,156
566,0.5411,224
567,0.4649,212
568,0.3596,184
569,0.5834,274
570,0.4949,204
571,0.4591,292
572,0.4424,162
573,0.559,314
574,0.9155,454
575,0.7238,332
576,1.9706,248
577,0.3085,176
578,0.4727,302
579,0.3533,196
580,0.5418,222
581,0.3187,182
582,0.3567,218
583,0.5734,248
584,0.6822,440
585,0.373,230
586,0.5092,214
587,0.6109,268
588,0.4885,196
589,0.7495,388
590,0.3888,202
591,0.5723,226
592,0.5577,240
593,0.9122,446
594,0.528,212
595,0.4667,214
596,0.6037,262
597,0.7784,464
598,0.4233,216
599,0.8846,446
600,0.4674,210
601,0.5914,238
602,0.443,212
603,0.5775,248
604,0.5251,228
605,0.423,250
606,0.4633,182
607,0.3876,176
608,0.573,260
609,0.7507,502
610,0.5452,246
611,0.8712,418
612,0.4452,266
613,0.9704,206
614,0.8467,430
615,0.369,224
616,0.8736,408
617,0.5907,260
618,0.2597,148
619,1.5558,228
620,0.4375,182
621,0.9903,490
622,0.5517,254
623,0.4194,200
624,0.9863,486
625,0.2803,162
626,0.5535,242
627,0.4714,238
628,0.5755,232
629,0.4777,196
630,0.4944,198
631,0.4841,214
632,0.8069,436
633,0.5428,230
634,0.3599,220
635,0.7592,204
636,0.5751,378
637,0.7192,256
638,0.7005,466
639,0.7104,272
640,0.9307,466
641,0.4481,168
642,0.5198,238
643,0.5297,274
644,0.6068,398
645,0.4624,208
646,0.3547,204
647,0.4898,198
648,0.5334,266
649,0.3302,186
650,0.4429,168
651,0.4649,236
652,0.4233,252
653,0.4988,244
654,0.4195,230
655,0.6261,238
656,0.3446,208
657,0.6463,404
658,0.3041,166
659,0.3967,208
660,0.6193,280
661,0.8735,408
662,0.6183,294
663,0.439,198
664,0.4995,216
665,0.7498,502
666,0.7009,364
667,0.7929,418
668,0.5123,238
669,0.7865,434
670,0.4709,296
671,0.4965,264
672,0.4639,202
673,0.3981,162
674,0.5592,188
675,0.4588,182
676,0.3768,150
677,0.8033,388
678,0.362,158
679,0.6029,326
680,0.8404,376
681,0.6435,280
682,0.6521,266
683,0.439,188
684,0.4458,244
685,0.3876,154
686,0.4484,196
687,0.5993,240
688,0.5997,274
689,0.3771,182
690,0.9791,454
691,0.3897,224
692,0.6422,220
693,0.2989,184
694,0.6158,382
695,0.336,204
696,0.6239,318
697,0.4661,190
698,0.542,226
699,0.4684,266
700,0.2852,170
701,0.4054,246
702,0.4707,220
703,0.3792,190
704,0.6598,456
705,1.1356,510
706,0.5804,252
707,0.3929,162
708,0.5514,326
709,0.6871,298
710,0.5343,226
711,0.7487,354
712,0.4273,204
713,0.313,148
714,0.5644,216
715,0.8772,372
716,0.4731,278
717,0.5002,192
718,0.7297,412
719,0.4231,184
720,0.4506,204
721,0.8762,456
722,0.9186,442
723,0.4754,192
724,0.3043,176
725,0.4108,198
726,0.6575,264
727,0.4562,206
728,0.385,228
729,0.5975,298
730,0.616,262
731,0.6348,384
732,0.434,214
733,0.4279,174
734,0.4097,204
735,0.6694,348
736,0.2452,104
737,0.479,284
738,0.4388,216
739,0.509,220
740,0.418,244
741,1.0881,452
742,0.3569,180
743,0.4822,190
744,0.6312,278
745,0.5165,230
746,0.9589,444
747,0.5993,258
748,0.4438,266
749,0.4744,188
750,0.732,338
751,0.4782,206
752,0.9159,462
753,0.3896,160
754,0.4917,230
755,0.7946,372
756,0.4477,204
757,0.5498,210
758,1.0354,460
759,0.4729,210
760,0.3592,178
761,0.6227,434
762,0.5952,244
763,0.5122,236
764,0.4818,232
765,0.5584,260
766,0.5339,220
767,0.3312,174
768,0.4994,220
769,0.4599,280
770,0.4494,216
771,0.4601,270
772,0.6311,350
773,0.6284,248
774,0.4118,232
775,0.5678,238
776,0.3833,230
777,0.5206,218
778,0.4638,216
779,0.3566,164
780,0.555,214
781,0.4157,200
782,0.6817,310
783,0.649,334
784,0.61,270
785,0.4084,178
786,0.7752,388
787,0.5851,228
788,0.2843,170
789,0.4612,190
790,0.685,302
791,0.4656,202
792,0.4662,210
793,0.4944,246
794,0.7424,382
795,0.2876,176
796,0.7625,474
797,0.4347,178
798,0.3775,150
799,0.5392,250
800,0.4744,212
801,0.5969,264
802,0.5821,216
803,0.3866,208
804,0.3372,196
805,0.2844,152
806,0.8732,444
807,0.3666,202
808,0.5459,346
809,0.5176,266
810,0.498,302
811,0.4496,176
812,0.5975,256
813,0.6439,344
814,0.699,280
815,0.2747,164
816,0.5286,238
817,0.8542,430
818,0.494,226
819,0.394,236
820,0.3488,138
821,0.5188,334
822,0.3504,204
823,0.5664,274
824,0.5566,218
825,0.3816,158
826,0.6783,296
827,0.7935,452
828,0.4124,224
829,0.2886,168
830,0.4574,270
831,0.5309,254
832,0.3954,246
833,0.4955,210
834,0.6805,342
835,0.3643,178
836,0.4713,264
837,0.3195,184
838,0.3248,208
839,0.4522,228
840,0.645,378
841,0.3877,188
842,0.4536,194
843,0.3423,206
844,0.4538,196
845,0.4517,184
846,0.3459,210
847,0.4891,264
848,0.5151,216
849,0.5051,130
850,0.4981,202
851,0.6066,240
852,0.51,244
853,0.6811,274
854,0.7658,378
855,0.5621,244
856,0.4199,262
857,0.4771,282
858,0.5027,286
859,0.4578,250
860,0.4661,186
861,0.528,212
862,0.5607,204
863,0.79,388
864,0.4183,214
865,0.4664,248
866,0.36,176
867,0.6177,288
868,0.3529,206
869,0.4696,202
870,0.6676,406
871,0.6101,412
872,0.358,208
873,0.8619,406
874,0.8326,488
875,0.5174,222
876,0.566,246
877,0.4444,196
878,0.5288,240
879,0.4749,208
880,0.3396,204
881,0.3717,144
882,0.5283,228
883,0.4822,212
884,0.3174,194
885,0.8759,432
886,0.5229,258
887,0.3828,208
888,0.5398,268
889,0.764,296
890,0.8465,410
891,0.4341,216
892,0.7553,498
893,0.5182,216
894,0.4411,180
895,0.3073,180
896,0.2868,162
897,1.0614,306
898,0.4042,182
899,0.6655,400
900,0.3389,208
901,0.5044,234
902,0.7532,466
903,0.5107,220
904,0.5513,242
905,0.7125,348
906,0.3995,188
907,0.4918,184
908,0.4868,240
909,0.7975,406
910,0.4392,194
911,0.7154,330
912,0.4313,264
913,0.536,208
914,0.3275,194
915,0.5054,218
916,0.6348,306
917,0.4934,212
918,0.352,214
919,0.6837,346
920,0.7507,310
921,0.4287,166
922,0.6705,298
923,0.6232,356
924,0.378,180
925,0.7754,380
926,1.011,346
927,0.4245,182
928,0.8112,458
929,0.2969,176
930,0.5455,284
931,0.4165,234
932,0.491,230
933,0.3867,192
934,0.4855,238
935,0.6898,468
936,0.4784,208
937,0.4268,252
938,0.3521,220
939,0.5638,226
940,0.5314,230
941,0.3244,202
942,0.7135,468
943,0.6105,272
944,0.6638,442
945,0.9022,450
946,0.7595,320
947,0.4748,176
948,0.6216,266
949,0.4255,246
950,0.3884,234
951,0.4266,194
952,0.4857,198
953,0.4568,186
954,0.288,108
955,0.4691,272
956,0.5047,212
957,0.279,162
958,0.4293,202
959,0.4373,236
960,0.7236,380
961,0.4463,258
962,0.6071,426
963,0.542,248
964,0.903,440
965,0.8687,414
966,0.3287,150
967,0.6734,432
968,0.3928,234
969,0.4574,270
970,0.3903,232
971,0.7075,344
972,0.3751,222
973,0.3539,170
974,0.7286,208
975,0.4153,192
976,0.6465,328
977,0.414,176
978,0.3822,158
979,0.4745,202
980,0.4969,176
981,0.4184,166
982,0.5906,326
983,1.189,170
984,1.0142,486
985,0.2967,168
986,0.8427,264
987,0.6709,344
988,1.0021,520
989,0.4912,208
990,0.5045,214
991,0.3794,220
992,0.3912,244
993,0.5154,242
994,0.6782,282
995,0.477,220
996,0.5954,404
997,0.4067,202
998,0.5967,264
999,0.694,356
