Cube Number,Solve Time (ms),Number of Moves
356,0.756,232
357,0.6164,271
358,0.6453,235
359,0.6118,184
360,0.6823,211
361,0.6186,226
362,0.6172,185
363,0.6363,201
364,0.7897,183
365,0.6862,218
366,0.7582,240
367,0.6934,242
368,0.523,229
369,0.6639,213
370,0.422,174
371,0.7103,191
372,0.525,139
373,0.638,197
374,0.5275,177
375,0.7575,260
376,0.5161,208
377,0.5805,159
378,0.6215,279
379,0.6439,197
380,0.5418,184
381,0.6747,316
382,0.6345,198
383,0.659,189
384,0.6044,172
385,0.7009,223
386,0.6076,179
387,0.6697,232
388,0.5956,184
389,0.6728,215
390,0.4938,171
391,0.5078,214
392,0.7533,258
393,0.634,198
394,0.727,219
395,0.6533,221
396,0.5793,210
397,0.6245,187
398,0.4405,193
399,0.5793,176
400,0.6304,183
401,0.6249,186
402,0.5357,258
403,0.4278,176
404,0.591,180
405,0.645,213
406,0.5531,142
407,0.6642,207
408,0.5552,189
409,0.5515,158
410,0.7017,234
411,0.6872,223
412,0.595,192
413,0.7595,230
414,0.5819,165
415,0.6782,202
416,0.6106,166
417,0.6295,186
418,0.7365,209
419,0.6443,226
420,0.5105,216
421,0.7055,219
422,0.6639,204
423,0.5658,166
424,0.5899,205
425,0.6907,227
426,0.6333,205
427,0.528,221
428,0.5877,178
429,0.468,205
430,0.7021,224
431,0.4237,169
432,0.733,235
433,0.6353,193
434,0.6047,195
435,0.5717,162
436,0.5548,181
437,0.555,162
438,0.5631,163
439,0.6038,183
440,0.6719,232
441,0.6111,163
442,0.5157,151
443,0.688,247
444,0.7296,224
445,0.5637,178
446,0.4972,157
447,0.5202,163
448,0.5205,165
449,0.6716,217
450,0.6178,168
451,0.6801,201
452,0.6625,214
453,0.6732,187
454,0.679,236
455,0.7127,222
456,0.6154,198
457,0.6235,190
458,0.5395,184
459,0.6568,303
460,0.6542,188
461,0.7953,272
462,0.524,161
463,0.6536,184
464,0.4812,169
465,0.6121,167
466,0.7039,201
467,0.6823,211
468,0.6375,196
469,0.8503,256
470,0.621,269
471,0.6385,294
472,0.8105,227
473,0.5855,196
474,0.4613,115
475,0.6449,196
476,0.6602,189
477,0.6645,205
478,0.7198,244
479,0.7102,225
480,0.5773,179
481,0.6839,216
482,0.5182,242
483,0.7541,219
484,0.6554,211
485,0.5849,178
486,0.642,169
487,0.5261,251
488,0.5968,195
489,0.752,236
490,0.697,297
491,0.5792,190
492,0.6033,191
493,0.7441,223
494,0.7608,231
495,0.7026,213
496,0.775,238
497,0.7374,231
498,0.5422,185
499,0.6934,228
500,0.5646,198
501,0.6295,183
502,0.7301,205
503,0.573,207
504,0.567,163
505,0.626,209
506,0.5583,207
507,0.633,200
508,0.5676,178
509,0.6165,193
510,0.4734,189
511,0.6086,175
512,0.5601,158
513,0.7255,207
514,0.6758,223
515,0.6655,238
516,0.5837,168
517,0.6449,225
518,0.7761,220
519,0.7051,203
520,0.7827,242
521,0.591,167
522,0.5702,173
523,0.6655,200
524,0.5894,174
525,0.592,208
526,0.6341,205
527,0.6812,202
528,0.5931,199
529,0.624,185
530,0.595,211
531,0.6488,190
532,0.6457,192
533,0.7012,224
534,0.6179,186
535,0.4471,183
536,0.6708,257
537,0.681,191
538,0.5134,192
539,0.6631,217
540,0.5329,217
541,0.5932,194
542,0.6222,208
543,0.5594,171
544,0.6034,169
545,0.6028,171
546,0.8624,287
547,0.6242,161
548,0.5211,184
549,0.6264,182
550,0.7226,190
551,0.3969,180
552,0.496,170
553,0.4397,193
554,0.5635,175
555,0.7177,253
556,0.6731,184
557,0.6738,196
558,0.5113,167
559,0.6139,185
560,0.6484,179
561,0.7054,251
562,0.8032,247
563,0.6913,219
564,0.6388,217
565,0.7431,243
566,0.5578,198
567,0.6705,245
568,0.7121,181
569,0.6681,228
570,0.6659,228
571,0.6427,218
572,0.653,200
573,0.5758,200
574,0.524,147
575,0.6342,203
576,0.721,207
577,0.8015,239
578,0.7825,241
579,0.7867,206
580,0.6798,218
581,0.8234,239
582,0.7158,245
583,0.4827,204
584,0.5369,222
585,0.6131,225
586,0.6376,172
587,0.68,222
588,0.6602,224
589,0.6582,195
590,0.6244,181
591,0.8151,264
592,0.581,263
593,0.53,170
594,0.5503,189
595,0.6359,258
596,0.5996,276
597,0.6418,189
598,0.5546,152
599,0.6491,214
600,0.6984,172
601,0.7159,229
602,0.6341,221
603,0.5333,138
604,0.6706,194
605,0.5671,190
606,0.7656,245
607,0.6646,205
608,0.641,207
609,0.7203,216
610,0.5635,198
611,0.4193,149
612,0.569,148
613,0.6447,204
614,0.6567,191
615,0.6614,202
616,0.5745,173
617,0.5313,156
618,0.5759,194
619,0.7152,250
620,0.5888,197
621,0.6167,172
622,0.5628,202
623,0.5461,155
624,0.496,122
625,0.6185,167
626,0.8101,259
627,0.6517,180
628,0.6255,179
629,0.683,164
630,0.6602,197
631,0.6782,216
632,0.6709,194
633,0.602,169
634,0.485,215
635,0.6637,206
636,0.6511,259
637,0.5926,179
638,0.5867,196
639,0.6231,197
640,0.6595,217
641,0.5657,180
642,0.7847,217
643,0.536,167
644,0.6598,205
645,0.4704,166
646,0.5573,177
647,0.6729,184
648,0.7603,227
649,0.5645,169
650,0.5653,181
651,0.6255,202
652,0.7567,215
653,0.7232,223
654,0.6706,200
655,0.5416,176
656,0.5246,212
657,0.6759,219
658,0.5742,194
659,0.6456,188
660,0.5889,181
661,0.6521,207
662,0.5982,180
663,0.7647,226
664,0.479,164
665,0.7142,206
666,0.5461,207
667,0.745,260
668,0.6418,191
669,0.5977,161
670,0.7624,226
671,0.7814,248
672,0.5656,208
673,0.5521,135
674,0.6207,237
675,0.6752,212
676,0.5382,171
677,0.5437,203
678,0.6153,179
679,0.5134,223
680,0.6903,232
681,0.7517,220
682,0.6034,179
683,0.6515,171
684,0.5343,223
685,0.7093,228
686,0.6305,174
687,0.5413,259
688,0.6638,182
689,0.6688,185
690,0.5746,178
691,0.4835,150
692,0.5908,201
693,0.648,177
694,0.6076,163
695,0.6186,183
696,0.6269,188
697,0.4519,201
698,0.5726,163
