Cube Number,Solve Time (ms),Number of Moves
357,0.701,226
358,1.4495,416
359,1.2805,384
360,0.937,308
361,0.7217,310
362,0.6484,270
363,0.7124,290
364,0.6048,248
365,1.1092,320
366,0.7378,298
367,1.091,366
368,0.6068,236
369,0.6377,274
370,0.9088,368
371,1.2391,438
372,0.7051,284
373,0.4373,164
374,0.7367,246
375,0.655,246
376,0.7957,258
377,0.6575,282
378,0.9087,340
379,0.6689,274
380,0.7526,252
381,0.7273,286
382,0.8052,312
383,0.7712,324
384,0.7705,314
385,0.8149,266
386,0.7492,304
387,0.7639,300
388,0.5807,256
389,0.8348,352
390,0.6517,276
391,0.8313,270
392,0.6873,296
393,0.695,290
394,0.5106,202
395,1.1536,274
396,0.7275,284
397,0.5568,232
398,0.6335,250
399,0.6467,292
400,0.66,282
401,0.7879,318
402,0.7071,258
403,0.6441,278
404,1.0392,416
405,0.9602,382
406,0.7057,282
407,1.0226,356
408,0.8291,276
409,0.6755,270
410,0.7964,312
411,0.9661,294
412,0.9007,362
413,0.7134,314
414,0.7737,316
415,0.9269,364
416,0.5686,248
417,0.9434,374
418,0.4606,198
419,0.9483,390
420,0.6923,272
421,0.5488,210
422,0.5002,196
423,0.8569,346
424,0.6313,256
425,0.5666,240
426,0.9541,382
427,0.5303,214
428,0.9049,382
429,0.8801,320
430,1.2961,332
431,1.0873,420
432,1.1827,372
433,0.9043,310
434,1.2185,404
435,0.7001,286
436,0.8694,360
437,0.9854,386
438,0.6499,242
439,0.8047,326
440,0.9358,366
441,0.4982,212
442,0.721,294
443,0.6095,246
444,0.7487,312
445,0.9387,306
446,0.597,242
447,0.7807,302
448,0.9962,350
449,0.8275,318
450,0.7476,290
451,0.5593,220
452,0.9811,336
453,0.8665,292
454,0.8696,334
455,0.749,252
456,0.7607,314
457,1.2437,358
458,0.9221,308
459,0.7415,304
460,0.6884,276
461,0.8098,244
462,0.7721,322
463,1.0283,314
464,1.7549,406
465,1.2176,422
466,0.9629,384
467,0.4496,180
468,0.7209,288
469,0.9676,402
470,0.7799,328
471,1.1897,384
472,1.0138,404
473,0.524,200
474,0.7928,260
475,0.6645,260
476,0.6345,248
477,0.9167,344
478,0.7976,332
479,0.6789,280
480,0.8274,320
481,0.7605,340
482,0.9235,290
483,1.0173,416
484,0.8901,318
485,0.9127,392
486,0.6141,254
487,0.6905,234
488,0.7749,308
489,0.7663,308
490,0.7148,284
491,1.023,334
492,0.856,330
493,0.7916,246
494,0.6218,246
495,0.9089,278
496,1.0202,270
497,0.8531,272
498,0.9847,304
499,0.9206,370
500,0.6236,254
501,0.8753,304
502,0.5982,244
503,0.9577,308
504,0.8337,254
505,0.7317,288
506,0.9511,318
507,0.7398,312
508,0.8155,314
509,1.1301,294
510,0.4129,190
511,0.8356,348
512,0.9017,342
513,0.6864,276
514,1.0644,394
515,0.911,298
516,0.9564,296
517,0.6267,264
518,0.783,310
519,0.6014,228
520,1.1914,378
521,0.9863,316
522,1.0347,354
523,0.7482,314
524,0.8074,352
525,0.8453,350
526,0.8558,344
527,0.9698,348
528,1.0464,346
529,0.974,366
530,0.7175,236
531,0.7892,266
532,0.9204,308
533,0.613,240
