Cube Number,Solve Time (ms),Number of Moves
356,0.7885,266
357,0.4707,248
358,4.8789,242
359,0.6358,412
360,0.6428,132
361,0.7979,424
362,1.0378,244
363,0.4321,276
364,1.1283,248
365,0.8503,188
366,0.832,240
367,0.3639,216
368,1.4817,206
369,1.1819,264
370,0.6423,216
371,0.8544,200
372,2.3994,442
373,1.3097,286
374,0.9178,340
375,0.719,212
376,1.8531,446
377,0.7241,242
378,0.767,244
379,2.8493,280
380,1.3312,264
381,0.3411,196
382,0.6409,422
383,0.7875,200
384,4.2385,400
385,0.5308,158
386,1.0899,256
387,0.6833,120
388,0.8929,430
389,0.7697,226
390,0.9223,474
391,0.796,232
392,1.5302,500
393,0.9883,338
394,0.9446,338
395,0.4246,260
396,1.5428,462
397,0.3845,184
398,0.3213,196
399,1.8978,458
400,0.6074,206
401,0.8661,272
402,1.8579,442
403,0.7784,224
404,1.0306,154
405,0.8729,206
406,0.4706,168
407,2.1313,432
408,1.4661,352
409,1.7139,446
410,0.5673,206
411,0.7208,186
412,0.5254,220
413,0.948,216
414,0.295,168
415,1.7879,370
416,2.3808,448
417,1.2917,346
418,0.815,210
419,1.6787,406
420,0.8584,222
421,1.0488,254
422,0.8727,322
423,0.8803,202
424,3.1306,412
425,0.4516,160
426,1.0817,432
427,0.3675,174
428,0.4788,250
429,1.7104,226
430,0.7865,346
431,1.2931,240
432,0.4174,256
433,0.4781,208
434,0.6198,228
435,0.4673,192
436,1.1975,196
437,0.4112,210
438,0.4046,240
439,1.8007,284
440,0.6873,326
441,0.773,314
442,1.4652,210
443,0.301,170
444,0.5675,382
445,0.603,248
446,4.1924,488
447,1.368,182
448,0.9321,410
449,0.7631,270
450,1.2722,196
451,0.5201,334
452,0.9466,372
453,0.3859,240
454,0.6387,350
455,0.3196,186
456,1.4613,466
457,0.4199,260
458,0.7434,250
459,0.2808,160
460,0.6781,302
461,0.3665,224
462,0.3125,146
463,0.6341,310
464,0.4042,244
465,0.3885,162
466,0.6994,216
467,0.3869,180
468,0.3855,130
469,0.304,184
470,0.4993,188
471,0.4817,196
472,0.8555,460
473,0.3055,152
474,0.448,192
475,1.5467,328
476,1.0967,442
477,0.5612,244
478,0.408,238
479,0.3605,220
480,0.8257,154
481,0.5842,248
482,0.438,282
483,0.4881,194
484,0.4986,326
485,0.4067,234
486,0.3458,204
487,0.3947,194
488,0.4179,222
489,0.4133,194
490,0.4848,254
491,0.4814,310
492,0.3937,152
493,0.3805,232
494,0.2908,170
495,0.3371,190
496,0.7212,454
497,0.6787,318
498,0.3863,234
499,0.3912,226
500,0.7003,466
501,0.3283,188
502,0.3533,206
503,1.9604,408
504,0.4191,252
505,3.9323,210
506,0.3584,228
507,0.3524,186
508,0.3437,208
509,0.3858,230
510,0.309,168
511,0.3165,184
512,0.5734,218
513,0.5993,248
514,0.2816,168
515,0.4026,210
516,0.3664,176
517,0.9663,468
518,0.8183,474
519,0.4685,282
520,0.3017,178
521,0.3946,238
522,0.4232,260
523,0.3249,192
524,0.3218,188
525,0.6349,304
526,0.5152,310
527,0.5273,230
528,0.3545,220
529,0.527,244
530,0.4443,272
531,0.414,254
532,0.3201,192
533,0.5876,398
534,0.356,216
535,0.4722,242
536,0.4144,208
537,0.3461,194
538,0.4074,246
539,0.2622,146
540,0.4986,230
541,0.5433,354
542,0.4624,196
543,0.478,230
544,0.4997,226
545,0.9951,302
546,0.6705,252
547,0.8616,408
548,0.5939,266
549,0.4178,248
550,0.5486,358
551,0.2906,164
552,0.4472,282
553,0.3438,202
554,0.544,354
555,0.6527,444
556,0.6418,422
557,0.3921,258
558,0.91,450
559,0.6417,420
560,0.6697,444
561,0.4141,262
562,0.4873,202
563,0.3776,212
564,0.3983,244
565,0.328,200
566,0.3831,232
567,0.8107,396
568,0.7213,244
569,0.3388,200
570,1.4551,392
571,0.3701,226
572,0.4177,264
573,0.3321,194
574,0.3649,220
575,0.6678,452
576,0.3118,182
577,0.4209,258
578,0.4145,242
579,0.2669,150
580,0.2461,134
581,0.3713,196
582,0.3117,184
583,0.3326,194
584,0.402,248
585,4.5378,428
586,0.8649,492
587,0.4034,232
588,0.3339,204
589,0.3568,222
590,0.4576,296
591,0.3224,184
592,0.5839,300
593,0.4359,250
594,0.7935,452
595,0.3832,228
596,0.3878,226
597,0.396,228
598,0.443,270
599,0.3803,228
600,0.7744,474
601,0.4257,206
602,0.5818,268
603,0.4301,210
604,0.446,292
605,0.3692,220
606,0.6611,440
607,0.4403,220
608,0.2483,156
609,0.2755,150
610,0.5843,268
611,0.5863,376
612,0.3098,180
613,0.6073,410
614,0.2998,180
615,0.4626,294
616,0.2904,150
617,0.338,194
618,0.5775,378
619,0.4241,274
620,0.4069,246
621,0.3711,214
622,0.5745,250
623,0.5227,200
624,0.2885,166
625,0.3133,186
626,0.39,244
627,0.5169,228
628,0.6968,454
629,0.4198,256
630,0.3109,182
631,0.4624,236
632,0.2919,176
633,0.4482,266
634,0.4847,290
635,0.3648,200
636,0.6023,146
637,0.6294,358
638,0.3394,208
639,0.6592,436
640,0.6591,290
641,0.3832,236
642,0.3697,216
643,0.4246,260
644,0.6754,432
645,0.3225,202
646,0.4899,250
647,0.3142,184
648,0.5503,362
649,0.4767,202
650,0.4075,246
651,0.3738,222
652,1.0305,480
653,0.3431,216
654,0.2493,140
655,0.2661,160
656,0.368,228
657,0.3693,210
658,0.3827,234
659,0.6498,330
660,0.3813,246
661,0.5041,326
662,0.3798,228
663,0.2545,144
664,0.7251,482
665,0.6093,254
666,0.6214,418
667,0.336,208
668,0.279,158
669,0.4609,304
670,0.3175,180
671,0.4208,256
672,0.4405,276
673,0.345,206
674,0.3108,188
675,0.383,236
676,0.4236,272
677,0.4343,258
678,0.4187,252
679,0.3899,236
680,0.4374,252
681,0.451,288
682,0.4074,158
683,0.6913,316
684,0.3027,168
685,0.2962,188
686,0.4596,272
687,0.3683,220
688,0.3444,176
689,0.4125,248
690,0.3354,174
691,3.2373,304
692,0.693,474
693,0.4813,310
694,0.2992,172
695,0.3708,220
696,0.3825,242
697,0.3196,196
698,0.7494,320
699,0.3758,230
700,0.3876,250
701,0.2537,148
702,0.3412,198
703,0.3261,192
704,0.467,206
705,0.4722,254
706,0.3994,234
707,0.3424,214
708,0.37,226
709,3.1388,458
710,0.2903,162
711,0.6337,330
712,0.3361,208
713,0.7426,242
714,0.43,250
715,0.6297,434
716,1.8054,186
717,0.4417,268
718,0.6045,396
719,0.6769,426
720,0.9405,504
721,0.5662,344
722,0.4273,262
723,0.4434,288
724,0.4417,230
725,0.4541,224
726,0.7698,454
727,0.6432,432
728,0.5456,346
729,0.7127,474
730,0.3905,202
731,0.5944,392
732,0.6329,376
733,0.3948,228
734,0.6642,426
735,0.7651,470
736,0.3903,230
737,0.6703,452
738,0.4812,194
739,0.5354,246
740,0.1838,102
741,0.7379,398
742,0.6078,400
743,0.3787,236
744,0.8816,258
745,1.2111,322
746,0.4033,200
747,0.3973,192
748,0.2939,134
749,0.3681,180
750,0.5911,300
751,0.3147,152
752,0.505,232
753,2.1048,460
754,0.5651,388
755,0.6601,438
756,0.2464,144
757,0.6717,458
758,0.3338,188
759,0.5994,386
760,0.4381,226
761,0.598,398
762,0.3107,182
763,0.3282,200
764,0.9623,278
765,0.2899,126
766,0.6019,206
767,0.5617,214
768,0.363,218
769,0.5036,162
770,0.8585,414
771,0.4031,232
772,0.3652,222
773,0.7071,242
774,0.5496,366
775,0.4356,196
776,0.5523,348
777,0.657,422
778,0.4322,192
779,0.5517,366
780,0.5575,270
781,0.4824,294
782,0.3614,220
783,0.3047,170
784,0.3571,220
785,0.5004,312
786,0.4805,300
787,0.5608,224
788,0.3445,210
789,0.339,200
790,0.3094,186
791,0.6647,190
792,0.3503,206
793,0.2693,164
794,0.3171,190
795,0.4322,184
796,0.4331,234
797,0.4726,240
798,0.2519,150
799,0.2845,172
800,0.3227,200
801,0.4126,240
802,0.5158,334
803,0.6806,450
804,0.5278,262
805,0.4748,282
806,0.3327,194
807,0.6826,448
808,0.4089,242
809,0.4133,256
810,0.4326,258
811,0.7755,382
812,0.3417,210
813,0.5709,344
814,0.2801,170
815,0.4165,238
816,0.3518,214
817,0.6257,424
818,0.3412,192
819,0.3705,222
820,0.3453,196
821,0.3697,222
822,0.5174,220
823,0.3688,224
824,0.311,192
825,0.7618,450
826,0.518,324
827,0.3365,206
828,0.3412,206
829,0.6735,456
830,0.338,198
831,0.4377,258
832,0.4222,266
833,0.481,316
834,0.7289,476
835,0.3783,212
836,0.4114,248
837,0.4251,258
838,0.6477,440
839,0.3711,232
840,0.4663,200
841,0.4294,282
842,0.5161,262
843,0.412,252
844,0.61,414
845,0.5631,234
846,0.3705,212
847,0.3334,204
848,0.3642,218
849,0.5397,228
850,0.333,158
851,0.3994,246
852,0.3574,168
853,0.453,276
854,0.4042,242
855,0.5385,356
856,0.2547,146
857,0.3464,212
858,0.4356,212
859,0.3887,204
860,0.3139,184
861,0.6688,352
862,0.5186,260
863,0.6163,394
864,0.57,322
865,0.3371,210
866,0.6878,456
867,0.2843,156
868,0.428,266
869,0.4118,242
870,0.4114,242
871,1.2597,196
872,0.4128,252
873,0.3753,226
874,1.0844,216
875,0.372,224
876,0.6206,376
877,0.3717,224
878,0.3106,182
879,0.3264,198
880,0.6075,400
881,0.2441,148
882,0.2269,134
883,0.5525,356
884,0.4179,186
885,0.5391,334
886,0.6532,430
887,0.4057,204
888,0.4048,246
889,0.6353,438
890,0.4692,288
891,0.3944,232
892,0.2968,170
893,0.8876,458
894,0.4028,218
895,0.6185,400
896,0.7288,430
897,0.3508,214
898,0.5362,232
899,0.3046,184
900,0.5202,324
901,0.554,356
902,0.3307,196
903,0.321,202
904,0.3852,238
905,0.509,200
906,0.3561,194
907,0.397,236
908,0.3769,224
909,0.9821,172
910,0.426,264
911,0.4401,264
912,0.4209,250
913,0.4948,254
914,0.4007,206
915,0.4552,264
916,0.3522,198
917,0.3224,196
918,0.6402,414
919,0.3094,180
920,0.5439,250
921,0.6461,326
922,0.4765,206
923,0.6685,446
924,0.3321,198
925,0.3579,212
926,0.2621,142
927,0.7573,502
928,0.2909,186
929,3.8724,426
930,0.9762,194
931,0.3578,216
932,0.3772,228
933,0.4465,222
934,0.3391,202
935,0.3569,206
936,0.7026,454
937,0.5424,354
938,0.3184,192
939,0.3648,214
940,0.366,220
941,0.3985,202
942,0.7312,492
943,0.3842,230
944,0.8686,440
945,0.7155,422
946,0.668,422
947,0.3097,188
948,0.4672,286
949,0.459,278
950,0.3611,160
951,0.4663,308
952,0.4299,264
953,0.4367,268
954,0.338,212
955,0.4968,268
956,0.4178,250
957,0.3572,218
958,0.3491,172
959,0.3,160
960,0.2893,166
961,0.3214,186
962,0.5656,376
963,0.3705,218
964,0.5382,344
965,0.3283,186
966,0.5458,358
967,0.5715,372
968,0.4725,242
969,0.3089,182
970,0.4304,216
971,0.3582,214
972,0.4881,212
973,0.2942,172
974,0.2724,160
975,0.3432,204
976,0.3432,204
977,0.3537,216
978,0.5988,348
979,0.4867,232
980,0.4939,232
981,0.3576,218
982,0.3567,208
983,0.4205,254
984,0.3152,204
985,0.5088,242
986,0.3388,194
987,0.3846,234
988,0.5073,258
989,0.332,202
990,0.3479,206
991,0.2696,150
992,0.402,240
993,0.3894,240
994,0.4447,216
995,0.6897,454
996,0.3927,238
997,0.3808,216
998,0.362,220
999,0.3508,202
