Cube Number,Solve Time (ms),Number of Moves
354,2.175,606
355,2.0006,684
356,1.8708,646
357,1.0105,398
358,0.7391,278
359,1.3749,508
360,2.1911,714
361,0.7871,312
362,1.8589,588
363,1.3554,462
364,1.6313,436
365,1.1241,372
366,1.5103,408
367,1.691,578
368,1.686,644
369,1.2669,522
370,2.7303,924
371,1.1158,370
372,0.7535,328
373,3.6606,1132
374,2.1419,696
375,3.6548,1056
376,1.0057,316
377,1.0737,270
378,2.227,778
379,1.6815,502
380,0.8508,340
381,2.4468,686
382,1.479,486
383,0.7645,342
384,1.8994,654
385,1.9509,646
386,1.2871,456
387,0.7309,282
388,0.8829,306
389,1.2035,350
390,1.2348,454
391,2.2032,784
392,1.588,546
393,1.8229,522
394,3.9454,1240
395,1.2161,522
396,1.1122,432
397,1.2334,466
398,1.3113,492
399,1.8711,672
400,1.1215,414
401,1.1063,416
402,2.6294,904
403,0.6635,258
404,2.1272,722
405,0.8287,306
406,0.612,204
407,0.978,332
408,1.5665,640
409,0.7152,328
410,1.3395,488
411,1.7688,624
412,2.055,590
413,0.8585,326
414,1.0439,418
415,1.3075,446
416,0.8112,304
417,0.6881,272
418,1.1169,362
419,1.2852,480
420,1.7952,596
421,3.5809,1040
422,1.1418,504
423,2.2199,780
424,1.8023,546
425,0.9782,440
426,0.9828,312
427,1.0899,374
428,1.8941,656
429,0.9554,266
430,1.9628,656
431,1.0852,380
432,1.5027,524
433,1.1551,412
434,1.9108,722
435,2.0764,752
436,0.8046,272
437,1.9759,782
438,0.9845,398
439,0.9559,364
440,1.1585,424
441,0.741,268
442,3.5605,964
443,1.3686,458
444,1.2362,378
445,2.7657,912
446,2.0873,664
447,1.5779,630
448,0.6367,274
449,1.5396,566
450,0.9038,352
451,0.6941,190
452,3.7388,1014
453,0.8439,330
454,2.8334,972
455,1.226,516
456,1.6443,498
457,1.6021,578
458,2.0353,542
459,1.3777,550
460,1.5606,516
461,1.3003,416
462,1.1073,472
463,0.6314,294
464,0.699,272
465,1.674,572
466,1.2784,334
467,1.7684,604
468,0.7559,294
469,2.0745,756
470,0.8915,382
471,2.0454,724
472,0.7512,294
473,2.0511,632
474,0.9463,340
475,2.1922,740
476,1.3505,452
477,1.9937,600
478,0.9281,346
479,0.8989,318
480,1.0145,346
481,0.6385,272
482,2.1957,734
483,1.8575,534
484,0.5711,220
485,1.4428,540
486,4.1838,1086
487,1.7203,498
488,2.3114,636
489,1.6226,536
490,1.1024,458
491,1.5879,500
492,2.9698,882
493,1.3498,364
494,1.0436,402
495,3.5616,900
496,1.2637,448
497,0.5381,216
498,1.4423,444
499,0.7461,256
500,1.2243,424
501,1.6195,464
502,0.6518,294
503,1.3506,500
504,1.0316,396
505,1.3364,390
506,1.8457,632
507,1.36,498
508,2.5521,896
509,0.8633,296
510,1.6218,612
511,3.335,866
512,2.4446,862
513,3.4957,970
514,1.1781,390
515,1.5599,408
516,1.1853,414
517,0.9842,312
518,1.5781,456
519,1.4321,496
520,0.8644,272
521,0.9076,266
522,1.4756,524
523,0.9191,376
524,2.8823,1000
525,1.1773,440
526,1.3811,470
527,2.0386,708
528,1.0836,364
529,0.9878,352
530,0.7026,268
531,2.1482,724
532,1.1758,470
533,1.1573,448
534,2.9099,818
535,0.9585,384
536,0.7539,324
537,1.5445,560
538,1.0054,320
539,1.8448,648
540,1.5845,484
541,1.2071,358
542,2.7157,958
543,1.4646,504
544,2.5283,862
545,1.7666,580
546,0.7356,270
547,1.0791,426
548,1.0725,378
549,3.374,956
550,3.5419,1184
551,1.8673,616
552,1.9108,710
553,3.7816,856
554,1.5438,460
555,1.5961,532
556,0.9299,294
557,0.6815,262
558,1.1836,440
559,1.8817,602
560,2.5721,794
561,1.5303,448
562,1.741,600
563,4.3791,1250
564,3.3485,794
565,0.6426,248
566,0.7167,212
567,1.2988,430
568,2.3922,728
569,1.3562,472
570,1.0174,352
571,1.2009,422
572,0.9812,298
573,0.907,372
574,0.894,342
575,1.3789,444
576,1.8105,502
577,0.9193,346
578,1.9598,516
579,2.054,620
580,2.0166,626
581,1.4782,596
582,2.9894,834
583,0.7081,334
584,1.5037,512
585,1.5655,566
586,0.7935,290
587,2.5327,760
588,1.8634,644
589,2.3395,816
590,1.1476,406
591,1.5788,524
592,0.6472,242
593,1.4797,436
594,1.6883,552
595,1.6001,594
596,2.3326,684
597,3.1971,1100
598,0.8632,280
599,0.9338,398
600,1.6324,602
601,1.4021,588
602,0.7825,318
603,0.8875,382
604,1.1864,400
605,0.8166,280
606,3.6517,1272
607,4.2057,1036
608,2.7771,830
609,2.9419,704
610,2.551,754
611,2.703,816
612,1.0918,370
613,1.277,472
614,1.5093,568
615,1.7901,612
616,1.3583,376
617,1.8537,658
618,4.1809,1400
619,1.4031,472
620,1.289,502
621,1.5034,556
622,2.786,976
623,1.2758,474
624,2.7381,934
625,1.0247,370
626,2.0333,646
627,1.4266,524
628,2.6163,760
629,1.7418,606
630,0.9306,276
631,1.9223,728
632,0.9872,326
633,0.849,370
634,2.4065,794
635,1.4421,464
636,0.7078,268
637,1.1446,436
638,2.8859,948
639,2.008,644
640,1.2283,462
641,1.0049,380
642,1.6057,458
643,1.1171,344
644,2.4198,898
645,1.1926,426
646,1.306,458
647,1.7962,486
648,1.3019,506
649,1.3762,484
650,1.4392,524
651,3.9328,1432
652,1.2705,382
653,1.6311,538
654,1.6398,554
655,1.7914,570
656,1.1573,368
657,0.9633,352
658,1.4195,490
659,1.1473,352
660,1.3991,428
661,0.974,348
662,1.5038,570
663,1.624,448
664,1.5492,566
665,1.8284,582
666,1.0301,358
667,1.8265,558
668,1.7137,462
669,1.6514,516
670,1.6769,592
671,1.4895,510
672,1.3109,342
673,1.5582,574
674,2.7594,974
675,1.1366,448
676,1.3365,508
677,0.9152,376
678,1.4598,448
679,1.6851,630
680,0.7795,328
681,1.2965,474
682,1.375,494
683,3.9046,1210
684,2.2239,740
685,1.1246,476
686,1.6501,576
687,1.7281,566
688,0.6915,242
689,1.469,510
690,1.933,762
691,0.9291,310
692,1.3256,550
693,1.0189,356
694,1.6065,554
695,1.7268,536
696,1.4235,462
697,1.1561,438
698,1.4395,438
699,2.2304,768
700,0.6708,248
701,3.6101,1222
702,2.1737,712
703,1.0535,398
704,1.1717,320
705,0.9727,332
706,1.5632,546
707,1.1131,410
708,1.7085,526
709,1.3997,478
710,1.9628,668
711,2.4904,718
712,1.0459,364
713,1.0725,378
714,1.8976,716
715,1.7257,674
716,1.2942,444
717,0.6368,228
718,1.6005,430
719,2.2529,750
720,1.8034,574
721,2.009,604
722,0.7676,300
723,0.7941,292
724,2.63,926
725,0.6565,224
726,1.6645,564
727,1.2513,368
728,1.4714,432
729,2.9284,808
730,1.0648,382
731,2.0638,722
732,1.0124,306
733,2.0896,742
734,0.9702,316
735,1.8312,602
736,1.4442,530
737,1.0415,398
738,1.1383,390
739,1.1554,442
740,2.8734,956
741,0.6406,250
742,0.7541,320
743,0.8219,288
744,1.4102,468
745,0.7566,290
746,1.2275,448
747,0.8742,312
748,2.0467,660
749,2.152,730
750,1.2509,456
751,2.8863,956
752,0.8008,322
753,1.0691,390
754,1.8771,638
755,1.1771,494
756,2.3158,802
757,0.8654,320
758,1.0632,304
759,2.0467,686
760,1.0813,408
761,1.9153,666
762,2.065,668
763,0.99,354
764,1.9474,610
765,1.1694,436
766,1.069,360
767,0.6465,224
768,1.7958,526
769,1.517,572
770,2.0681,694
771,0.9841,310
772,0.929,336
773,0.9611,326
774,1.459,490
775,2.9464,1000
776,1.4304,542
777,1.6325,594
778,1.1108,352
779,2.5296,744
780,0.9327,426
781,1.6074,402
782,1.7389,500
783,0.9664,354
784,1.3761,478
785,0.7964,226
786,2.1149,712
787,1.46,558
788,2.4664,658
789,2.5409,794
790,1.5248,548
791,1.9507,560
792,0.962,360
793,2.849,946
794,0.818,318
795,2.9906,830
796,1.2682,588
797,1.4875,514
798,0.9233,354
799,1.7218,568
800,1.5541,566
801,2.2596,828
802,2.7715,784
803,1.6397,498
804,1.8052,670
805,1.0247,446
806,1.4017,378
807,2.413,824
808,1.5187,452
809,1.5034,520
810,3.2116,1048
